,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
139,CIN @ NE,Lynn Bowden Jr.,3000,,,,,,,,,,,,,,,,,,,,
140,GB @ MIA,Jeff Cotton Jr.,3000,,,,,,,,,,,,,,,,,,,,
141,NO @ CLE,Daylen Baldwin,3000,,,,,,,,,,,,,,,,,,,,
142,NO @ CLE,Michael Woods,3000,,,,,,,,,,,,,,,,,,,,
143,WAS @ SF,Dyami Brown,3000,,,,,,,,,,,,,,,,,,,,
144,ATL @ BAL,Rashod Bateman,3000,,,,,,,,,,,,,,,,,,,,
145,CIN @ NE,Tyquan Thornton,3000,,,,,,,,,,,,,,,,,,,,
146,SEA @ KC,Justyn Ross,3000,,,,,,,,,,,,,,,,,,,,
147,JAC @ NYJ,Seth Williams,3000,,,,,,,,,,,,,,,,,,,,
148,GB @ MIA,Erik Ezukanma,3000,,,,,,,,,,,,,,,,,,,,
149,PHI @ DAL,Simi Fehoko,3000,,,,,,,,,,,,,,,,,,,,
150,NYG @ MIN,Jalen Nailor,3000,,,,,,,,,,,,,,,,,,,,
151,HOU @ TEN,Kyle Philips,3000,,,,,,,,,,,,,,,,,,,,
152,NO @ CLE,Anthony Schwartz,3000,,,,,,,,,,,,,,,,,,,,
153,JAC @ NYJ,Kevin Austin Jr.,3000,,,,,,,,,,,,,,,,,,,,
154,LAC @ IND,John Hightower,3000,,,,,,,,,,,,,,,,,,,,
155,BUF @ CHI,Khalil Shakir,3000,,,,,,,,,,,,,,,,,,,,
156,TB @ ARI,Deven Thompkins,3000,,,,,,,,,,,,,,,,,,,,
157,WAS @ SF,Dax Milne,3000,,,,,,,,,,,,,,,,,,,,
158,ATL @ BAL,Shemar Bridges,3000,,,,,,,,,,,,,,,,,,,,
159,HOU @ TEN,John Metchie I,3000,,,,,,,,,,,,,,,,,,,,
160,PHI @ DAL,Dontario Drummond,3000,,,,,,,,,,,,,,,,,,,,
161,NYG @ MIN,Makai Polk,3000,,,,,,,,,,,,,,,,,,,,
162,NYG @ MIN,Wan'Dale Robinson,3000,,,,,,,,,,,,,,,,,,,,
163,DET @ CAR,Derek Wright,3000,,,,,,,,,,,,,,,,,,,,
164,DET @ CAR,Trinity Benson,3000,,,,,,,,,,,,,,,,,,,,
165,NO @ CLE,Deonte Harty,3000,,,,,,,,,,,,,,,,,,,,
166,LV @ PIT,Gunner Olszewski,3000,,,,,,,,,,,,,,,,,,,,
167,TB @ ARI,Kaylon Geiger Sr.,3000,,,,,,,,,,,,,,,,,,,,
168,SEA @ KC,Skyy Moore,3000,,,,,,,,,,,,,,,,,,,,
169,SEA @ KC,Jerrion Ealy,3000,,,,,,,,,,,,,,,,,,,,
170,NO @ CLE,David Bell,3000,,,,,,,,,,,,,,,,,,,,
171,LAC @ IND,Mike Strachan,3000,,,,,,,,,,,,,,,,,,,,
172,HOU @ TEN,Mason Kinsey,3000,,,,,,,,,,,,,,,,,,,,
173,WAS @ SF,Danny Gray,3000,,,,,,,,,,,,,,,,,,,,
174,SEA @ KC,Dareke Young,3000,,,,,,,,,,,,,,,,,,,,
175,ATL @ BAL,Jared Bernhardt,3000,,,,,,,,,,,,,,,,,,,,
176,DEN @ LAR,Kaden Davis,3000,,,,,,,,,,,,,,,,,,,,
177,CIN @ NE,Matthew Slater,3000,,,,,,,,,,,,,,,,,,,,
178,DET @ CAR,Andre Roberts,3000,,,,,,,,,,,,,,,,,,,,
179,BUF @ CHI,John Brown,3000,,,,,,,,,,,,,,,,,,,,
180,LV @ PIT,Albert Wilson,3000,,,,,,,,,,,,,,,,,,,,
181,BUF @ CHI,Jake Kumerow,3000,,,,,,,,,,,,,,,,,,,,
182,JAC @ NYJ,Diontae Spencer,3000,,,,,,,,,,,,,,,,,,,,
183,WAS @ SF,Willie Snead IV,3000,,,,,,,,,,,,,,,,,,,,
184,HOU @ TEN,Chris Conley,3000,,,,,,,,,,,,,,,,,,,,
185,CIN @ NE,Ty Montgomery,3000,,,,,,,,,,,,,,,,,,,,
186,BUF @ CHI,Jamison Crowder,3000,,,,,,,,,,,,,,,,,,,,
187,WAS @ SF,Marken Michel,3000,,,,,,,,,,,,,,,,,,,,
188,ATL @ BAL,Damiere Byrd,3000,,,,,,,,,,,,,,,,,,,,
189,NO @ CLE,Jakeem Grant Sr.,3000,,,,,,,,,,,,,,,,,,,,
190,TB @ ARI,Robbie Anderson,3000,,,,,,,,,,,,,,,,,,,,
191,DEN @ LAR,Allen Robinson,3000,,,,,,,,,,,,,,,,,,,,
192,WAS @ SF,Alex Erickson,3000,,,,,,,,,,,,,,,,,,,,
193,TB @ ARI,Breshad Perriman,3000,,,,,,,,,,,,,,,,,,,,
194,NO @ CLE,Michael Thomas,3000,,,,,,,,,,,,,,,,,,,,
195,NYG @ MIN,Sterling Shepard,3000,,,,,,,,,,,,,,,,,,,,
196,NYG @ MIN,Marcus Johnson,3000,,,,,,,,,,,,,,,,,,,,
197,NYG @ MIN,Jaydon Mickens,3000,,,,,,,,,,,,,,,,,,,,
198,HOU @ TEN,C.J. Board,3000,,,,,,,,,,,,,,,,,,,,
199,HOU @ TEN,Cody Hollister,3000,,,,,,,,,,,,,,,,,,,,
200,DEN @ LAR,Cooper Kupp,3000,,,,,,,,,,,,,,,,,,,,
201,NO @ CLE,Kevin White,3000,,,,,,,,,,,,,,,,,,,,
202,BUF @ CHI,Tanner Gentry,3000,,,,,,,,,,,,,,,,,,,,
203,CIN @ NE,Trent Taylor,3000,,,,,,,,,,,,,,,,,,,,
204,PHI @ DAL,Devon Allen,3000,,,,,,,,,,,,,,,,,,,,
205,PHI @ DAL,Greg Ward,3000,,,,,,,,,,,,,,,,,,,,
206,DET @ CAR,Rashard Higgins,3000,,,,,,,,,,,,,,,,,,,,
207,TB @ ARI,Pharoh Cooper,3000,,,,,,,,,,,,,,,,,,,,
208,SEA @ KC,Marcus Kemp,3000,,,,,,,,,,,,,,,,,,,,
209,NO @ CLE,Keith Kirkwood,3000,,,,,,,,,,,,,,,,,,,,
210,JAC @ NYJ,Rodney Adams,3000,,,,,,,,,,,,,,,,,,,,
211,SEA @ KC,Laquon Treadwell,3000,,,,,,,,,,,,,,,,,,,,
212,GB @ MIA,DaeSean Hamilton,3000,,,,,,,,,,,,,,,,,,,,
213,LV @ PIT,Anthony Miller,3000,,,,,,,,,,,,,,,,,,,,
214,DEN @ LAR,Victor Bolden Jr.,3000,,,,,,,,,,,,,,,,,,,,
215,GB @ MIA,River Cracraft,3000,,,,,,,,,,,,,,,,,,,,
216,CIN @ NE,Kendrick Bourne,3000,,,,,,,,,,,,,,,,,,,,
217,ATL @ BAL,KhaDarel Hodge,3000,,,,,,,,,,,,,,,,,,,,
218,LV @ PIT,Keelan Cole Sr.,3000,,,,,,,,,,,,,,,,,,,,
219,DEN @ LAR,Brandon Powell,3000,,,,,,,,,,,,,,,,,,,,
220,JAC @ NYJ,Braxton Berrios,3000,,,,,,,,,,,,,,,,,,,,
221,WAS @ SF,Cam Sims,3000,,,,,,,,,,,,,,,,,,,,
222,BUF @ CHI,Nsimba Webster,3000,,,,,,,,,,,,,,,,,,,,
223,LAC @ IND,Keelan Doss,3000,,,,,,,,,,,,,,,,,,,,
224,LV @ PIT,Malik Turner,3000,,,,,,,,,,,,,,,,,,,,
225,BUF @ CHI,Reece Fountain,3000,,,,,,,,,,,,,,,,,,,,
226,SEA @ KC,Justin Watson,3000,,,,,,,,,,,,,,,,,,,,
227,SEA @ KC,Cody Thompson,3000,,,,,,,,,,,,,,,,,,,,
228,LV @ PIT,Chris Lacy,3000,,,,,,,,,,,,,,,,,,,,
229,PHI @ DAL,James Washington,3000,,,,,,,,,,,,,,,,,,,,
230,GB @ MIA,Juwann Winfree,3000,,,,,,,,,,,,,,,,,,,,
231,DEN @ LAR,Tim Patrick,3000,,,,,,,,,,,,,,,,,,,,
232,NO @ CLE,Tre'Quan Smith,3000,,,,,,,,,,,,,,,,,,,,
233,BUF @ CHI,KeeSean Johnson,3000,,,,,,,,,,,,,,,,,,,,
234,ATL @ BAL,Cameron Batson,3000,,,,,,,,,,,,,,,,,,,,
235,GB @ MIA,Travis Fulgham,3000,,,,,,,,,,,,,,,,,,,,
236,LAC @ IND,Vyncint Smith,3000,,,,,,,,,,,,,,,,,,,,
237,CIN @ NE,Tyron Johnson,3000,,,,,,,,,,,,,,,,,,,,
238,TB @ ARI,Andre Baccellia,3000,,,,,,,,,,,,,,,,,,,,
239,PHI @ DAL,KaVontae Turpin,3000,,,,,,,,,,,,,,,,,,,,
240,CIN @ NE,Stanley Morgan Jr.,3000,,,,,,,,,,,,,,,,,,,,
241,TB @ ARI,Scotty Miller,3000,,,,,,,,,,,,,,,,,,,,
242,NYG @ MIN,David Sills V,3000,,,,,,,,,,,,,,,,,,,,
243,NYG @ MIN,Bisi Johnson,3000,,,,,,,,,,,,,,,,,,,,
244,CIN @ NE,Kristian Wilkerson,3000,,,,,,,,,,,,,,,,,,,,
245,JAC @ NYJ,Jaylon Moore,3000,,,,,,,,,,,,,,,,,,,,
246,DET @ CAR,Preston Williams,3000,,,,,,,,,,,,,,,,,,,,
247,LV @ PIT,Steven Sims Jr.,3000,,,,,,,,,,,,,,,,,,,,
248,ATL @ BAL,James Proche,3000,,,,,,,,,,,,,,,,,,,,
249,ATL @ BAL,Andy Isabella,3000,,,,,,,,,,,,,,,,,,,,
250,SEA @ KC,Penny Hart,3000,,,,,,,,,,,,,,,,,,,,
251,PHI @ DAL,Antonio Callaway,3000,,,,,,,,,,,,,,,,,,,,
252,LV @ PIT,Isaiah Zuber,3000,,,,,,,,,,,,,,,,,,,,
253,NO @ CLE,Kirk Merritt,3000,,,,,,,,,,,,,,,,,,,,
254,PHI @ DAL,Britain Covey,3000,,,,,,,,,,,,,,,,,,,,
255,JAC @ NYJ,Irvin Charles,3000,,,,,,,,,,,,,,,,,,,,
256,NYG @ MIN,Dan Chisena,3000,,,,,,,,,,,,,,,,,,,,
257,JAC @ NYJ,Jeff Smith,3000,,,,,,,,,,,,,,,,,,,,
258,JAC @ NYJ,Calvin Ridley,3000,,,,,,,,,,,,,,,,,,,,
259,HOU @ TEN,Alex Bachman,3000,,,,,,,,,,,,,,,,,,,,
260,LV @ PIT,Miles Boykin,3000,,,,,,,,,,,,,,,,,,,,
261,LAC @ IND,Jalen Guyton,3000,,,,,,,,,,,,,,,,,,,,
262,LV @ PIT,Ja'Marcus Bradley,3000,,,,,,,,,,,,,,,,,,,,
263,DET @ CAR,Maurice Alexander,3000,,,,,,,,,,,,,,,,,,,,
264,DEN @ LAR,J.J. Koski,3000,,,,,,,,,,,,,,,,,,,,
265,HOU @ TEN,Davion Davis,3000,,,,,,,,,,,,,,,,,,,,
266,SEA @ KC,Bryan Edwards,3000,,,,,,,,,,,,,,,,,,,,
267,BUF @ CHI,N'Keal Harry,3000,,,,,,,,,,,,,,,,,,,,
268,DEN @ LAR,Freddie Swain,3000,,,,,,,,,,,,,,,,,,,,
269,LAC @ IND,Dezmon Patmon,3000,,,,,,,,,,,,,,,,,,,,
270,TB @ ARI,Greg Dortch,3000,,,,,,,,,,,,,,,,,,,,
271,TB @ ARI,Tyler Johnson,3000,,,,,,,,,,,,,,,,,,,,
272,NYG @ MIN,Collin Johnson,3000,,,,,,,,,,,,,,,,,,,,
273,DET @ CAR,C.J. Saunders,3000,,,,,,,,,,,,,,,,,,,,
274,BUF @ CHI,Darnell Mooney,3000,,,,,,,,,,,,,,,,,,,,
275,GB @ MIA,Cedrick Wilson Jr.,3000,,,,,,,,,,,,,,,,,,,,
276,DEN @ LAR,Jalen Virgil,3000,,,,,,,,,,,,,,,,,,,,
277,SEA @ KC,Cornell Powell,3000,,,,,,,,,,,,,,,,,,,,
278,DET @ CAR,Brandon Zylstra,3000,,,,,,,,,,,,,,,,,,,,
279,SEA @ KC,Cade Johnson,3000,,,,,,,,,,,,,,,,,,,,
280,ATL @ BAL,Frank Darby,3000,,,,,,,,,,,,,,,,,,,,
281,BUF @ CHI,Velus Jones Jr.,3000,,,,,,,,,,,,,,,,,,,,
282,LAC @ IND,Michael Bandy,3000,,,,,,,,,,,,,,,,,,,,
283,NO @ CLE,Isaiah Weston,3000,,,,,,,,,,,,,,,,,,,,
284,NO @ CLE,Marquez Stevenson,3000,,,,,,,,,,,,,,,,,,,,
285,NO @ CLE,Marquez Callaway,3000,,,,,,,,,,,,,,,,,,,,
286,DEN @ LAR,Brandon Johnson,3000,,,,,,,,,,,,,,,,,,,,
287,ATL @ BAL,Ra'Shaun Henry,3000,,,,,,,,,,,,,,,,,,,,
288,CIN @ NE,Raleigh Webb,3000,,,,,,,,,,,,,,,,,,,,
289,DEN @ LAR,Tyrie Cleveland,3000,,,,,,,,,,,,,,,,,,,,
290,TB @ ARI,Javon Wims,3000,,,,,,,,,,,,,,,,,,,,
291,HOU @ TEN,Dez Fitzpatrick,3000,,,,,,,,,,,,,,,,,,,,
292,LAC @ IND,Joe Reed,3000,,,,,,,,,,,,,,,,,,,,
293,DET @ CAR,Quintez Cephus,3000,,,,,,,,,,,,,,,,,,,,
294,JAC @ NYJ,Kendric Pryor,3000,,,,,,,,,,,,,,,,,,,,
295,TB @ ARI,Antoine Wesley,3000,,,,,,,,,,,,,,,,,,,,
296,SEA @ KC,Dee Eskridge,3000,,,,,,,,,,,,,,,,,,,,
297,JAC @ NYJ,Denzel Mims,3000,,,,,,,,,,,,,,,,,,,,
298,CIN @ NE,Kwamie Lassiter,3000,,,,,,,,,,,,,,,,,,,,
299,NYG @ MIN,Trishton Jackson,3000,,,,,,,,,,,,,,,,,,,,
300,CIN @ NE,Tre Nixon,3000,,,,,,,,,,,,,,,,,,,,
301,ATL @ BAL,Binjimen Victor,3000,,,,,,,,,,,,,,,,,,,,
302,JAC @ NYJ,Willie Johnson,3000,,,,,,,,,,,,,,,,,,,,
303,LAC @ IND,Ethan Fernea,3000,,,,,,,,,,,,,,,,,,,,
304,NYG @ MIN,Thomas Hennigan,3000,,,,,,,,,,,,,,,,,,,,
305,SEA @ KC,Easop Winston Jr.,3000,,,,,,,,,,,,,,,,,,,,
306,NYG @ MIN,Jalen Reagor,3000,,,,,,,,,,,,,,,,,,,,
307,WAS @ SF,Dazz Newsome,3000,,,,,,,,,,,,,,,,,,,,
308,HOU @ TEN,Racey McMath,3000,,,,,,,,,,,,,,,,,,,,
309,NYG @ MIN,Kalil Pimpleton,3000,,,,,,,,,,,,,,,,,,,,
310,DEN @ LAR,Jaquarii Roberson,3000,,,,,,,,,,,,,,,,,,,,
